emp_id,full_name,gender,birth_year,age,city,email,department,position,hire_date,salary_vnd,education,perf_score,leave_days,tenure_years
EMP-2001,Bùi Minh Cường,Nữ,1999,25,Hồ Chí Minh,buiminhcuong19@outlook.com,Marketing,Brand Manager,2019-11-11,1025084.0,THPT,1.2,7,4.1
EMP-2002,Đỗ Văn Em,Nam,1995,29,Hồ Chí Minh,dovanem23@outlook.com,Tài chính,Finance Analyst,2018-06-13,1105761.0,Đại học,2.5,2,5.6
EMP-2003,Phạm Thị Bình,Nữ,1979,45,Hải Phòng,phamthibinh21@company.vn,Marketing,SEO Specialist,2023-08-18,731321.0,Không xác định,4.3,13,0.4
EMP-2004,Hồ Minh Cường,Nữ,1976,48,Hà Nội,hominhcuong19@gmail.com,Nhân sự,HR Officer,2020-09-25,651790.0,Tiến sĩ,4.7,12,3.3
EMP-2005,Hồ Minh Cường,Nam,1982,42,Hải Phòng,hominhcuong85@company.vn,Kỹ thuật,Senior Dev,2019-11-30,1544522.0,Thạc sĩ,3.7,18,4.1
EMP-2006,Bùi Thị Lan,Không xác định,1994,30,Hải Phòng,buithilan97@gmail.com,Kỹ thuật,Senior Dev,2019-09-05,1588627.0,Đại học,3.6,17,4.3
EMP-2007,Vũ Thị Lan,Nam,2000,24,Hải Phòng,vuthilan74@gmail.com,Marketing,Content Writer,2023-05-29,564529.0,THPT,2.0,2,0.6
EMP-2008,Đặng Thị Hoa,Nam,1997,27,Cần Thơ,dangthihoa34@outlook.com,Kỹ thuật,Junior Dev,2020-04-21,,Không xác định,3.4,12,3.7
EMP-2009,Lê Thị Bình,Không xác định,1999,25,Hà Nội,lethibinh21@gmail.com,Kinh doanh,Sales Manager,2021-11-11,1503093.0,Đại học,2.6,17,2.1
EMP-2010,Phạm Thị Hoa,Nữ,1977,47,Hà Nội,phamthihoa52@company.vn,Vận hành,Ops Staff,2022-11-19,644461.0,Tiến sĩ,3.4,5,1.1
EMP-2011,Phạm Văn An,Nữ,1996,28,Cần Thơ,phamvanan52@company.vn,Kinh doanh,Sales Rep,2019-11-26,698150.0,Đại học,2.6,0,4.1
EMP-2012,Đặng Văn Hải,Nữ,1993,31,Đà Nẵng,dangvanhai15@company.vn,Marketing,SEO Specialist,2022-07-13,658363.0,Không xác định,4.3,14,1.5
EMP-2013,Vũ Văn Giang,Nữ,1996,28,Hà Nội,,Tài chính,Accountant,2020-06-21,834230.0,Cao đẳng,4.3,2,3.5
EMP-2014,Phạm Thị Dung,Nam,1990,34,Hà Nội,phamthidung32@company.vn,Nhân sự,HR Manager,2020-02-18,1189698.0,Đại học,1.4,15,3.9
EMP-2015,Đỗ Văn Em,Nữ,1990,34,Hà Nội,dovanem68@outlook.com,Tài chính,Finance Analyst,2021-01-30,1151630.0,Không xác định,3.2,12,2.9
EMP-2016,Hoàng Minh Cường,Nữ,1985,39,Hồ Chí Minh,hoangminhcuong79@company.vn,Marketing,Brand Manager,2019-02-17,1024041.0,Cao đẳng,3.0,11,4.9
EMP-2017,Đặng Thị Dung,Nữ,1992,32,Đà Nẵng,dangthidung2@yahoo.com,Tài chính,CFO,2020-08-23,3765707.0,Đại học,1.5,16,3.4
EMP-2018,Vũ Văn Em,Nam,1995,29,Hồ Chí Minh,vuvanem33@company.vn,Nhân sự,HR Officer,2023-05-06,675730.0,Đại học,1.5,6,0.7
EMP-2019,Bùi Minh Cường,Nam,1987,37,Cần Thơ,buiminhcuong54@outlook.com,Marketing,Brand Manager,2018-11-18,1265013.0,Đại học,1.3,7,5.1
EMP-2021,Hoàng Thị Hằng,Nam,1984,40,Cần Thơ,hoangthihang4@gmail.com,Tài chính,Accountant,2022-05-16,713257.0,Cao đẳng,4.4,15,1.6
EMP-2022,Đỗ Văn Em,Nữ,1991,33,Cần Thơ,dovanem12@outlook.com,Vận hành,Ops Manager,2022-11-17,1104978.0,Không xác định,2.6,0,1.1
EMP-2023,Phạm Văn Giang,Nữ,2000,24,Đà Nẵng,phamvangiang92@outlook.com,Nhân sự,HR Manager,2020-08-05,1024384.0,Tiến sĩ,1.9,7,3.4
EMP-2024,Không xác định,Nữ,1994,30,Hà Nội,,Nhân sự,HR Officer,2023-02-09,714836.0,Thạc sĩ,3.1,3,0.9
EMP-2025,Nguyễn Thị Hoa,Nữ,1986,38,Hồ Chí Minh,nguyenthihoa35@outlook.com,Kinh doanh,Sales Rep,2023-08-04,628459.0,Không xác định,2.9,8,0.4
EMP-2026,Phạm Thị Hằng,Nam,1991,33,Hồ Chí Minh,phamthihang21@gmail.com,Kinh doanh,Account Exec,2019-01-20,1123033.0,THPT,3.2,15,5.0
EMP-2027,Nguyễn Văn An,Không xác định,1987,37,Hà Nội,nguyenvanan20@company.vn,Vận hành,Logistics,2019-05-06,636874.0,Đại học,2.0,10,4.7
EMP-2028,Không xác định,Nữ,1985,39,Cần Thơ,emp2893@yahoo.com,Vận hành,Ops Staff,2020-08-11,621792.0,Đại học,1.2,17,3.4
EMP-2029,Bùi Văn Em,Nữ,1977,47,Cần Thơ,buivanem82@outlook.com,Marketing,Brand Manager,2019-10-19,1244829.0,THPT,4.5,11,4.2
EMP-2030,Trần Thị Bình,Nam,1988,36,Hải Phòng,tranthibinh17@yahoo.com,Tài chính,CFO,2021-08-14,4196079.0,Tiến sĩ,1.8,3,2.4
EMP-2031,Trần Thị Hằng,Nam,1995,29,Hà Nội,tranthihang54@company.vn,Kỹ thuật,Tech Lead,2020-05-04,,Thạc sĩ,1.2,16,3.7
EMP-2032,Lê Văn Hải,Nam,1993,31,Cần Thơ,levanhai82@company.vn,Kỹ thuật,Senior Dev,2020-10-15,1593997.0,Cao đẳng,3.8,3,3.2
EMP-2033,Đặng Thị Hoa,Nữ,1986,38,Hà Nội,dangthihoa99@company.vn,Tài chính,CFO,2021-08-22,4108819.0,Cao đẳng,2.8,0,2.4
EMP-2034,Hoàng Văn Hải,Nam,1999,25,Hà Nội,hoangvanhai13@gmail.com,Marketing,Content Writer,2018-03-30,485067.0,Đại học,1.6,18,5.8
EMP-2035,Hồ Thị Bình,Nữ,1990,34,Hồ Chí Minh,hothibinh74@outlook.com,Tài chính,Accountant,2019-12-10,914965.0,Đại học,1.2,11,4.1
EMP-2036,Phạm Minh Cường,Nam,1985,39,Cần Thơ,phamminhcuong58@gmail.com,Vận hành,Ops Manager,2019-09-05,1203594.0,Tiến sĩ,2.2,4,4.3
EMP-2037,Bùi Văn Giang,Nam,1990,34,Đà Nẵng,buivangiang95@yahoo.com,Kỹ thuật,DevOps,2019-07-07,1891313.0,THPT,2.1,18,4.5
EMP-2038,Hồ Thị Hằng,Nữ,1980,44,Hồ Chí Minh,hothihang30@yahoo.com,Marketing,SEO Specialist,2021-06-02,761285602.0,Đại học,1.6,2,2.6
EMP-2039,Phạm Thị Dung,Nam,1981,43,Hồ Chí Minh,phamthidung80@yahoo.com,Marketing,Brand Manager,2021-09-21,1406055.0,Tiến sĩ,3.7,16,2.3
EMP-2040,Vũ Thị Bình,Nữ,1996,28,Cần Thơ,vuthibinh84@outlook.com,Kỹ thuật,DevOps,2022-05-11,2001425668.0,Cao đẳng,2.5,3,1.6
EMP-2041,Hoàng Thị Hoa,Nam,1982,42,Đà Nẵng,,Kinh doanh,Account Exec,2018-06-12,1113045.0,Tiến sĩ,3.7,9,5.6
EMP-2042,Trần Văn Giang,Nam,1987,37,Hồ Chí Minh,tranvangiang88@yahoo.com,Nhân sự,HR Officer,2021-10-31,736593.0,Cao đẳng,3.3,9,2.2
EMP-2043,Lê Thị Lan,Nam,1979,45,Hải Phòng,lethilan93@gmail.com,Tài chính,CFO,2023-11-16,4494478.0,Không xác định,4.4,0,0.1
EMP-2044,Hồ Thị Lan,Nữ,1979,45,Đà Nẵng,hothilan30@yahoo.com,Vận hành,Ops Manager,2019-03-14,1467960.0,Đại học,2.4,15,4.8
EMP-2045,Phạm Thị Dung,Nam,1983,41,Đà Nẵng,phamthidung57@outlook.com,Nhân sự,HR Manager,2018-03-03,1086006.0,Đại học,4.5,13,5.8
EMP-2046,Nguyễn Văn Hải,Nữ,1991,33,Hà Nội,nguyenvanhai25@company.vn,Tài chính,Accountant,2020-10-03,824515.0,Cao đẳng,4.5,9,3.2
EMP-2047,Bùi Văn An,Nữ,1987,37,Hải Phòng,buivanan26@outlook.com,Nhân sự,Recruiter,2019-07-09,721475.0,Đại học,2.3,5,4.5
EMP-2048,Nguyễn Minh Cường,Nữ,1987,37,Đà Nẵng,nguyenminhcuong20@yahoo.com,Kỹ thuật,DevOps,2019-10-17,2053349.0,Cao đẳng,1.7,13,4.2
EMP-2049,Bùi Văn Hải,Nữ,1975,49,Cần Thơ,buivanhai28@outlook.com,Kỹ thuật,Senior Dev,2020-11-02,1851260328.0,Đại học,2.8,0,3.2
EMP-2050,Hồ Văn Em,Nữ,1996,28,Cần Thơ,hovanem23@yahoo.com,Kinh doanh,Sales Rep,2018-05-13,523215.0,Đại học,3.4,18,5.6
EMP-2051,Bùi Minh Cường,Nữ,1992,32,Đà Nẵng,buiminhcuong53@yahoo.com,Kỹ thuật,Tech Lead,2022-10-17,2447822.0,Đại học,3.4,16,1.2
EMP-2052,Bùi Thị Hằng,Nữ,1991,33,Hải Phòng,buithihang38@yahoo.com,Marketing,Brand Manager,2023-07-27,1296068.0,Đại học,1.1,3,0.4
EMP-2053,Trần Văn Em,Nữ,1997,27,Hải Phòng,tranvanem15@company.vn,Marketing,SEO Specialist,2020-04-04,,Đại học,3.9,0,3.7
EMP-2054,Đặng Văn An,Nam,1989,35,Đà Nẵng,dangvanan41@gmail.com,Vận hành,Ops Staff,2021-10-04,573429.0,Cao đẳng,3.7,11,2.2
EMP-2055,Nguyễn Văn Em,Nữ,1997,27,Cần Thơ,nguyenvanem58@company.vn,Tài chính,CFO,2021-06-16,4023306.0,Không xác định,2.2,1,2.5
EMP-2056,Lê Thị Bình,Nam,1984,40,Cần Thơ,lethibinh17@yahoo.com,Tài chính,Accountant,2023-11-15,740868.0,Đại học,2.8,16,0.1
EMP-2057,Phạm Thị Hoa,Nữ,1993,31,Hồ Chí Minh,phamthihoa99@outlook.com,Nhân sự,HR Officer,2018-04-03,534745.0,Đại học,2.1,0,5.8
EMP-2058,Hồ Thị Hoa,Nam,1980,44,Cần Thơ,,Tài chính,Finance Analyst,2020-09-29,1054263.0,Không xác định,4.6,12,3.3
