row_original,field,old_value,new_value,action
21,emp_id,EMP-2013,,DROPPED_DUPLICATE
75,emp_id,EMP-2062,,DROPPED_DUPLICATE
82,emp_id,EMP-2066,,DROPPED_DUPLICATE
86,emp_id,EMP-2059,,DROPPED_DUPLICATE
90,emp_id,EMP-2030,,DROPPED_DUPLICATE
112,emp_id,EMP-2091,,DROPPED_DUPLICATE
133,emp_id,EMP-2049,,DROPPED_DUPLICATE
178,emp_id,EMP-2008,,DROPPED_DUPLICATE
185,emp_id,EMP-2129,,DROPPED_DUPLICATE
25,full_name,,Không xác định,NAME_NORMALIZED
29,full_name,,Không xác định,NAME_NORMALIZED
41,full_name,VŨ THỊ BÌNH,Vũ Thị Bình,NAME_NORMALIZED
69,full_name,,Không xác định,NAME_NORMALIZED
78,full_name,PHẠM MINH CƯỜNG,Phạm Minh Cường,NAME_NORMALIZED
80,full_name,BÙI THỊ BÌNH,Bùi Thị Bình,NAME_NORMALIZED
102,full_name,LÊ THỊ HOA,Lê Thị Hoa,NAME_NORMALIZED
118,full_name,BÙI VĂN GIANG,Bùi Văn Giang,NAME_NORMALIZED
123,full_name,BÙI THỊ BÌNH,Bùi Thị Bình,NAME_NORMALIZED
134,full_name,,Không xác định,NAME_NORMALIZED
154,full_name,,Không xác định,NAME_NORMALIZED
157,full_name,ĐỖ THỊ HẰNG,Đỗ Thị Hằng,NAME_NORMALIZED
176,full_name,,Không xác định,NAME_NORMALIZED
177,full_name,,Không xác định,NAME_NORMALIZED
200,full_name,ĐẶNG THỊ DUNG,Đặng Thị Dung,NAME_NORMALIZED
201,full_name,ĐỖ THỊ DUNG,Đỗ Thị Dung,NAME_NORMALIZED
2,gender,NỮ,Nữ,GENDER_NORMALIZED
3,gender,Male,Nam,GENDER_NORMALIZED
5,gender,F,Nữ,GENDER_NORMALIZED
6,gender,Male,Nam,GENDER_NORMALIZED
7,gender,,Không xác định,GENDER_NORMALIZED
8,gender,M,Nam,GENDER_NORMALIZED
9,gender,Male,Nam,GENDER_NORMALIZED
10,gender,,Không xác định,GENDER_NORMALIZED
11,gender,Female,Nữ,GENDER_NORMALIZED
14,gender,NỮ,Nữ,GENDER_NORMALIZED
15,gender,M,Nam,GENDER_NORMALIZED
16,gender,Female,Nữ,GENDER_NORMALIZED
17,gender,Female,Nữ,GENDER_NORMALIZED
18,gender,Female,Nữ,GENDER_NORMALIZED
19,gender,M,Nam,GENDER_NORMALIZED
20,gender,nam,Nam,GENDER_NORMALIZED
