customer_id,full_name,email,phone,city,registration_date,membership_tier
CUS-1001,Nguyễn Thị Bình,nguyenthibinh50@company.vn,0940099522,Hồ Chí Minh,2023-05-26,Bronze
CUS-1002,Vũ Văn Em,vuvanem33@yahoo.com,0980157150,Hải Phòng,2022-04-03,Silver
CUS-1003,Hồ Văn An,hovanan30@company.vn,0942831915,Hà Nội,2022-08-03,Bronze
CUS-1004,Hồ Văn An,hovanan48@yahoo.com,0942831915,Hà Nội,2023-03-07,Silver
CUS-1005,Hồ Văn Em,hovanem87@gmail.com,0943166247,Hồ Chí Minh,2023-11-10,Platinum
CUS-1006,Lê Thị Dung,lethidung57@company.vn,0911110455,Cần Thơ,2023-02-17,Silver
CUS-1007,Bùi Văn Em,buivanem78@yahoo.com,0947580286,Hải Phòng,2023-10-18,Bronze
CUS-1008,Lê Thị Hoa,lethihoa57@outlook.com,0953971486,Hồ Chí Minh,2022-11-09,Gold
CUS-1009,Phạm Văn Em,phamvanem55@yahoo.com,0906422426,Hồ Chí Minh,2022-05-06,Platinum
CUS-1010,Lê Văn Giang,levangiang64@yahoo.com,0995277727,Hà Nội,2022-03-01,Gold
CUS-1011,Bùi Văn Hải,buivanhai51@gmail.com,0938809797,Hồ Chí Minh,2022-07-28,Bronze
CUS-1012,Phạm Văn An,phamvanan20@outlook.com,0973480357,Hồ Chí Minh,2022-01-27,Gold
CUS-1013,Vũ Văn Em,vuvanem81@yahoo.com,0920567343,Hà Nội,2023-06-29,Bronze
CUS-1014,Hồ Văn Giang,hovangiang46@yahoo.com,0947895352,Hà Nội,2023-04-23,Gold
CUS-1015,Trần Văn Giang,tranvangiang56@yahoo.com,0932340500,Hồ Chí Minh,2022-05-04,Bronze
CUS-1016,Lê Thị Hằng,lethihang40@gmail.com,0922048441,Đà Nẵng,2022-01-07,Bronze
CUS-1017,Đặng Văn Giang,dangvangiang16@company.vn,0994948728,Đà Nẵng,2023-11-18,Bronze
CUS-1018,Bùi Văn An,buivanan9@outlook.com,0965286303,Đà Nẵng,2023-10-19,Gold
CUS-1019,Đỗ Văn Em,dovanem86@yahoo.com,0979721837,Cần Thơ,2022-01-08,Platinum
CUS-1020,Bùi Thị Lan,buithilan96@gmail.com,0920466832,Cần Thơ,2023-04-16,Platinum
CUS-1021,Phạm Thị Hoa,phamthihoa8@gmail.com,0970523279,Đà Nẵng,2023-10-14,Bronze
CUS-1022,Hồ Văn An,hovanan18@company.vn,0950563421,Hà Nội,2023-12-01,Bronze
CUS-1023,Phạm Văn Em,phamvanem39@outlook.com,0936794187,Hải Phòng,2022-06-26,Bronze
CUS-1024,Đặng Văn Giang,dangvangiang67@gmail.com,0916090322,Hải Phòng,2022-01-06,Bronze
CUS-1025,Hoàng Thị Dung,hoangthidung54@gmail.com,0978573891,Hồ Chí Minh,2022-11-11,Silver
CUS-1026,Nguyễn Thị Bình,nguyenthibinh33@company.vn,0961612490,Hồ Chí Minh,2023-10-27,Gold
