table,row_id,field,old_value,new_value,action
customers,CUS-1070,customer_id,CUS-1070,,DROPPED_DUPLICATE
customers,CUS-1058,customer_id,CUS-1058,,DROPPED_DUPLICATE
customers,CUS-1050,customer_id,CUS-1050,,DROPPED_DUPLICATE
customers,CUS-1078,customer_id,CUS-1078,,DROPPED_DUPLICATE
customers,CUS-1005,customer_id,CUS-1005,,DROPPED_DUPLICATE
customers,CUS-1111,customer_id,CUS-1111,,DROPPED_DUPLICATE
customers,CUS-1009,full_name,PHẠM VĂN EM,Phạm Văn Em,NAME_NORMALIZED
customers,CUS-1010,full_name,LÊ VĂN GIANG,Lê Văn Giang,NAME_NORMALIZED
customers,CUS-1016,full_name,lê thị hằng,Lê Thị Hằng,NAME_NORMALIZED
customers,CUS-1019,full_name,ĐỖ VĂN EM,Đỗ Văn Em,NAME_NORMALIZED
customers,CUS-1032,full_name,vũ thị lan,Vũ Thị Lan,NAME_NORMALIZED
customers,CUS-1036,full_name,BÙI MINH CƯỜNG,Bùi Minh Cường,NAME_NORMALIZED
customers,CUS-1047,full_name,ĐẶNG VĂN AN,Đặng Văn An,NAME_NORMALIZED
customers,CUS-1070,full_name,TRẦN MINH CƯỜNG,Trần Minh Cường,NAME_NORMALIZED
customers,CUS-1074,full_name,BÙI VĂN HẢI,Bùi Văn Hải,NAME_NORMALIZED
customers,CUS-1076,full_name,bùi thị dung,Bùi Thị Dung,NAME_NORMALIZED
customers,CUS-1114,full_name,BÙI VĂN HẢI,Bùi Văn Hải,NAME_NORMALIZED
customers,CUS-1115,full_name,ĐỖ THỊ LAN,Đỗ Thị Lan,NAME_NORMALIZED
customers,CUS-1125,full_name,bùi thị hoa,Bùi Thị Hoa,NAME_NORMALIZED
customers,CUS-1132,full_name,LÊ VĂN GIANG,Lê Văn Giang,NAME_NORMALIZED
customers,CUS-1146,full_name,trần văn hải,Trần Văn Hải,NAME_NORMALIZED
customers,CUS-1148,full_name,PHẠM VĂN GIANG,Phạm Văn Giang,NAME_NORMALIZED
customers,CUS-1001,email,nguyễnthịbình50@company.vn,nguyenthibinh50@company.vn,EMAIL_DIACRITIC_REMOVED
customers,CUS-1002,email,vũvănem33@yahoo.com,vuvanem33@yahoo.com,EMAIL_DIACRITIC_REMOVED
customers,CUS-1003,email,hồvănan30@company.vn,hovanan30@company.vn,EMAIL_DIACRITIC_REMOVED
customers,CUS-1004,email,hồvănan48@yahoo.com,hovanan48@yahoo.com,EMAIL_DIACRITIC_REMOVED
customers,CUS-1005,email,hồvănem87@gmail.com,hovanem87@gmail.com,EMAIL_DIACRITIC_REMOVED
customers,CUS-1006,email,lêthịdung57@company.vn,lethidung57@company.vn,EMAIL_DIACRITIC_REMOVED
customers,CUS-1007,email,bùivănem78@yahoo.com,buivanem78@yahoo.com,EMAIL_DIACRITIC_REMOVED
customers,CUS-1008,email,lêthịhoa57@outlook.com,lethihoa57@outlook.com,EMAIL_DIACRITIC_REMOVED
customers,CUS-1009,email,phạmvănem55@yahoo.com,phamvanem55@yahoo.com,EMAIL_DIACRITIC_REMOVED
customers,CUS-1010,email,lêvăngiang64yahoo.com,levangiang64@yahoo.com,EMAIL_AT_INSERTED
customers,CUS-1011,email,bùivănhải51@gmail.com,buivanhai51@gmail.com,EMAIL_DIACRITIC_REMOVED
customers,CUS-1012,email,phạmvănan20@outlook.com,phamvanan20@outlook.com,EMAIL_DIACRITIC_REMOVED
customers,CUS-1013,email,vũvănem81@yahoo.com,vuvanem81@yahoo.com,EMAIL_DIACRITIC_REMOVED
