customer_id,full_name,email,phone,city,registration_date,membership_tier
CUS-1001,Nguyễn Thị Bình,nguyễnthịbình50@company.vn,0940099522,Hồ Chí Minh,26/05/2023,bronze
CUS-1002,Vũ Văn Em,vũvănem33@yahoo.com,0980-157-150,Hải Phòng,03/04/2022,Silver
CUS-1003,Hồ Văn An,hồvănan30@company.vn,0942831915,Hà Nội,03/08/2022,Bronze
CUS-1004,Hồ Văn An,hồvănan48@yahoo.com,0942-831-915,Hà Nội,07/03/2023,Silver
CUS-1005,Hồ Văn Em,hồvănem87@gmail.com,+84943166247,Hồ Chí Minh,10/11/2023,Platinum
CUS-1006,Lê Thị Dung,lêthịdung57@company.vn,0911110455,Cần Thơ,17/02/2023,Silver
CUS-1007,Bùi Văn Em,bùivănem78@yahoo.com,0947580286,Hải Phòng,18/10/2023,bronze
CUS-1008,Lê Thị Hoa,lêthịhoa57@outlook.com,0953971486,Hồ Chí Minh,09/11/2022,Gold
CUS-1009,PHẠM VĂN EM,phạmvănem55@yahoo.com,0906-422-426,Hồ Chí Minh,06/05/2022,Platinum
CUS-1010,LÊ VĂN GIANG,lêvăngiang64yahoo.com,0995277727,Hà Nội,01/03/2022,Gold
CUS-1011,Bùi Văn Hải,bùivănhải51@gmail.com,0938809797,Hồ Chí Minh,28/07/2022,bronze
CUS-1012,Phạm Văn An,phạmvănan20@outlook.com,0973480357,Hồ Chí Minh,27/01/2022,Gold
CUS-1013,Vũ Văn Em,vũvănem81@yahoo.com,0920567343,Hà Nội,29/06/2023,Bronze
CUS-1014,Hồ Văn Giang,hồvăngiang46@yahoo.com,0947895352,Hà Nội,23/04/2023,Gold
CUS-1015,Trần Văn Giang,trầnvăngiang56@yahoo.com,0932340500,Hồ Chí Minh,04/05/2022,bronze
CUS-1016,lê thị hằng,lêthịhằng40gmail.com,0922048441,Đà Nẵng,07/01/2022,Bronze
CUS-1017,Đặng Văn Giang,dặngvăngiang16@company.vn,0994948728,Đà Nẵng,18/11/2023,Bronze
CUS-1018,Bùi Văn An,bùivănan9@outlook.com,+84965286303,Đà Nẵng,19/10/2023,Gold
CUS-1019,ĐỖ VĂN EM,dỗvănem86@yahoo.com,0979721837,Cần Thơ,08/01/2022,Platinum
CUS-1020,Bùi Thị Lan,bùithịlan96@gmail.com,0920466832,Cần Thơ,16/04/2023,Platinum
CUS-1021,Phạm Thị Hoa,phạmthịhoa8@gmail.com,0970523279,Đà Nẵng,14/10/2023,bronze
CUS-1022,Hồ Văn An,hồvănan18@company.vn,0950563421,Hà Nội,01/12/2023,bronze
CUS-1023,Phạm Văn Em,phạmvănem39outlook.com,0936794187,Hải Phòng,26/06/2022,bronze
CUS-1024,Đặng Văn Giang,dặngvăngiang67@gmail.com,0916-090-322,Hải Phòng,06/01/2022,Bronze
CUS-1025,Hoàng Thị Dung,hoàngthịdung54@gmail.com,0978573891,Hồ Chí Minh,11/11/2022,Silver
CUS-1026,Nguyễn Thị Bình,nguyễnthịbình33@company.vn,+84961612490,Hồ Chí Minh,27/10/2023,GOLD
CUS-1027,Lê Văn Giang,lêvăngiang65@company.vn,0934513747,Hà Nội,04/06/2022,
CUS-1028,Lê Văn An,lêvănan75@yahoo.com,0902747555,Đà Nẵng,23/01/2022,bronze
CUS-1029,Phạm Văn Giang,phạmvăngiang15@yahoo.com,0942204457,Hồ Chí Minh,27/03/2023,Bronze
CUS-1030,Đặng Thị Dung,dặngthịdung3@company.vn,0944622240,Cần Thơ,03/03/2023,
CUS-1031,Phạm Thị Hằng,phạmthịhằng10@gmail.com,0907-371-743,Hải Phòng,28/11/2022,GOLD
CUS-1032,vũ thị lan,vũthịlan35@company.vn,0965666581,Đà Nẵng,18/06/2022,Platinum
CUS-1033,Bùi Thị Lan,bùithịlan13@yahoo.com,0938474842,Hồ Chí Minh,12/08/2023,
CUS-1034,Hồ Thị Hoa,hồthịhoa48@gmail.com,0917196486,Hà Nội,29/09/2022,Platinum
CUS-1035,Vũ Văn An,vũvănan26@company.vn,0939598138,Hồ Chí Minh,22/03/2023,GOLD
CUS-1036,BÙI MINH CƯỜNG,bùiminhcường5@outlook.com,0940099522,Cần Thơ,18/02/2023,Bronze
CUS-1037,Hoàng Thị Bình,hoàngthịbình35@outlook.com,0977-809-416,Đà Nẵng,18/09/2023,
CUS-1038,Hoàng Thị Dung,hoàngthịdung85@gmail.com,0946-191-820,Hải Phòng,23/04/2022,Silver
CUS-1039,Nguyễn Thị Hằng,nguyễnthịhằng12@gmail.com,0911711315,Hà Nội,24/07/2023,Silver
CUS-1040,Phạm Văn Em,phạmvănem4@yahoo.com,0939178232,Hồ Chí Minh,24/06/2023,Silver
