emp_id,full_name,gender,birth_year,age,city,email,department,position,hire_date,salary_k_vnd,education,perf_score,leave_days
EMP-2001,Bùi Minh Cường,NỮ,1999,25,Hồ Chí Minh,bùiminhcường19@outlook.com,Marketing,Brand Manager,11/11/2019,1025084.0,THPT,1.2,7
EMP-2002,Đỗ Văn Em,Male,1995,29,Hồ Chí Minh,dỗvănem23@outlook.com,Tài chính,Finance Analyst,13-06-2018,1105761.0,ĐHỤC,2.5,2
EMP-2003,Phạm Thị Bình,Nữ,1979,45,Hải Phòng,phạmthịbình21@company.vn,Marketing,SEO Specialist,18-08-2023,731321.0,,4.3,13
EMP-2004,Hồ Minh Cường,F,1976,48,Hà Nội,hồminhcường19@gmail.com,Nhân sự,HR Officer,25-09-2020,651790.0,Tiến sĩ,4.7,12
EMP-2005,Hồ Minh Cường,Male,1982,42,Hải Phòng,hồminhcường85@company.vn,Kỹ thuật,Senior Dev,30/11/2019,1544522.0,Thạc sĩ,3.7,18
EMP-2006,Bùi Thị Lan,,1994,30,Hải Phòng,bùithịlan97@gmail.com,Kỹ thuật,Senior Dev,05-09-2019,1588627.0,ĐHỤC,3.6,17
EMP-2007,Vũ Thị Lan,M,2000,24,Hải Phòng,vũthịlan74@gmail.com,Marketing,Content Writer,2023-05-29,564529.0,THPT,2.0,2
EMP-2008,Đặng Thị Hoa,Male,1997,27,Cần Thơ,dặngthịhoa34@outlook.com,Kỹ thuật,Junior Dev,21-04-2020,-864956.0,,3.4,12
EMP-2009,Lê Thị Bình,,1999,25,Hà Nội,lêthịbình21@gmail.com,Kinh doanh,Sales Manager,11/11/2021,1503093.0,ĐHỤC,2.6,17
EMP-2010,Phạm Thị Hoa,Female,1977,47,Hà Nội,phạmthịhoa52@company.vn,Vận hành,Ops Staff,19/11/2022,644461.0,Tiến sĩ,3.4,5
EMP-2011,Phạm Văn An,Nữ,1996,28,Cần Thơ,phạmvănan52@company.vn,Kinh doanh,Sales Rep,2019-11-26,698150.0,đại học,2.6,0
EMP-2012,Đặng Văn Hải,Nữ,1993,150,Đà Nẵng,dặngvănhải15@company.vn,Marketing,SEO Specialist,2022-07-13,658363.0,,4.3,14
EMP-2013,Vũ Văn Giang,NỮ,1996,28,Hà Nội,,Tài chính,Accountant,21-06-2020,834230.0,Cao đẳng,4.3,2
EMP-2014,Phạm Thị Dung,M,1990,34,Hà Nội,phạmthịdung32@company.vn,Nhân sự,HR Manager,2020-02-18,1189698.0,đại học,1.4,15
EMP-2015,Đỗ Văn Em,Female,1990,34,Hà Nội,dỗvănem68@outlook.com,Tài chính,Finance Analyst,30-01-2021,1151630.0,,3.2,12
EMP-2016,Hoàng Minh Cường,Female,1985,39,Hồ Chí Minh,hoàngminhcường79@company.vn,Marketing,Brand Manager,17-02-2019,1024041.0,Cao đẳng,3.0,11
EMP-2017,Đặng Thị Dung,Female,1992,32,Đà Nẵng,dặngthịdung2@yahoo.com,Tài chính,CFO,2020-08-23,3765707.0,Đại học,1.5,16
EMP-2018,Vũ Văn Em,M,1995,29,Hồ Chí Minh,vũvănem33company.vn,Nhân sự,HR Officer,2023-05-06,675730.0,đại học,1.5,6
EMP-2019,Bùi Minh Cường,nam,1987,37,Cần Thơ,bùiminhcường54@outlook.com,Marketing,Brand Manager,18-11-2018,1265013.0,ĐHỤC,1.3,7
EMP-2013,Vũ Văn Giang,NỮ,1996,28,Hà Nội,,Tài chính,Accountant,21-06-2020,834230.0,Cao đẳng,4.3,2
EMP-2021,Hoàng Thị Hằng,nam,1984,40,Cần Thơ,hoàngthịhằng4@gmail.com,Tài chính,Accountant,2022-05-16,713257.0,Cao đẳng,4.4,15
